iter	Passed	Remaining
0	0	72
1	1	67
2	2	65
3	2	62
4	3	62
5	3	61
6	4	63
7	5	61
8	5	60
9	6	59
10	7	58
11	7	57
12	8	57
13	9	56
14	9	55
15	10	55
16	11	54
17	11	53
18	12	53
19	13	52
20	13	51
21	14	51
22	15	50
23	15	49
24	16	48
25	16	48
26	17	47
27	18	47
28	18	46
29	19	45
30	20	44
31	20	44
32	21	43
33	22	43
34	22	42
35	23	42
36	24	41
37	24	40
38	25	40
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	28	35
45	29	34
46	30	34
47	30	33
48	31	33
49	32	32
50	32	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	65	1
98	66	0
99	67	0
